series,year,value,unit,source,url,note
ODM 연결매출 코스맥스,2023,1777.5,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001628,
ODM 연결매출 코스맥스,2024,2166.1,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250416000526,
ODM 연결매출 코스맥스,2025 1H,1212.1,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814000437,
ODM 연결매출 코스맥스,2025,2398.8,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000694,
ODM 연결매출 코스맥스,2026 1H,1476.9,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260813001436,
ODM 연결매출 씨앤씨인터내셔널,2021,91.3,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220712000324,
ODM 연결매출 씨앤씨인터내셔널,2022,130.6,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001531,
ODM 연결매출 씨앤씨인터내셔널,2023,220.3,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001899,
ODM 연결매출 씨앤씨인터내셔널,2024,282.9,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001159,
ODM 연결매출 씨앤씨인터내셔널,2025 1H,139.9,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814001817,
ODM 연결매출 씨앤씨인터내셔널,2025,288.5,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001238,
ODM 연결매출 씨앤씨인터내셔널,2026 1H,144.2,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260814002473,
ODM 4사 연결매출 합계,2021,3665.6,KRW bn,내 계산 (DART 합산),,
ODM 4사 연결매출 합계,2022,3995.9,KRW bn,내 계산 (DART 합산),,
ODM 4사 연결매출 합계,2023,4624.2,KRW bn,내 계산 (DART 합산),,
ODM 4사 연결매출 합계,2024,5425.4,KRW bn,내 계산 (DART 합산),,
ODM 4사 연결매출 합계,2025,6050.6,KRW bn,내 계산 (DART 합산),,
ODM 4사 연결매출 합계,2025 1H,3016.0,KRW bn,내 계산,,
ODM 4사 연결매출 합계,2026 1H,3621.6,KRW bn,내 계산,,YoY +20.1%
"컨센서스 매출 코스맥스 (FnGuide, 2026-03 기준)",2026E,2707.4,KRW bn,FnGuide 컨센서스 (메리츠 표3 인용),"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +12.9%
메리츠 추정 매출 코스맥스,2026E,2731.9,KRW bn,메리츠증권,"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +13.9%
메리츠 추정 매출 코스맥스,2027E,3079.0,KRW bn,메리츠증권 표21,"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +12.7%
"컨센서스 매출 한국콜마 (FnGuide, 2026-03 기준)",2026E,2952.0,KRW bn,FnGuide 컨센서스 (메리츠 표3 인용),"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +8.4%
메리츠 추정 매출 한국콜마,2026E,2939.0,KRW bn,메리츠증권,"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +8.0%
메리츠 추정 매출 한국콜마,2027E,3177.7,KRW bn,메리츠증권 표21,"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +8.1%
"컨센서스 매출 코스메카코리아 (FnGuide, 2026-03 기준)",2026E,746.6,KRW bn,FnGuide 컨센서스 (메리츠 표3 인용),"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +16.5%
메리츠 추정 매출 코스메카코리아,2026E,734.3,KRW bn,메리츠증권,"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +14.6%
"컨센서스 매출 씨앤씨인터내셔널 (FnGuide, 2026-03 기준)",2026E,312.1,KRW bn,FnGuide 컨센서스 (메리츠 표3 인용),"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +8.2%
메리츠 추정 매출 씨앤씨인터내셔널,2026E,327.0,KRW bn,메리츠증권,"https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf (메리츠증권 2026-03-18, 표3/표21)",YoY +13.3%
"컨센서스 매출 코스맥스 (FnGuide, 2026-01 기준)",2026E,2671.1,KRW bn,FnGuide 컨센서스 (키움 실적변경 테이블 인용),https://bbn.kiwoom.com/rfCI5514 (키움증권 조소정 2026-01-05),
"컨센서스 매출 한국콜마 (FnGuide, 2026-01 기준)",2026E,2946.2,KRW bn,FnGuide 컨센서스 (키움 실적변경 테이블 인용),https://bbn.kiwoom.com/rfCI5514 (키움증권 조소정 2026-01-05),
"컨센서스 매출 코스메카코리아 (FnGuide, 2026-01 기준)",2026E,725.8,KRW bn,FnGuide 컨센서스 (키움 실적변경 테이블 인용),https://bbn.kiwoom.com/rfCI5514 (키움증권 조소정 2026-01-05),
컨센서스 목표주가 코스맥스,2026-09-17,304632,KRW,FnGuide/WiseReport 19개사,https://comp.wisereport.co.kr/company/c1010001.aspx?cmp_cd=192820,
컨센서스 목표주가 한국콜마,2026-09-17,170200,KRW,FnGuide/WiseReport 20개사,https://comp.wisereport.co.kr/company/c1010001.aspx?cmp_cd=161890,
컨센서스 매출 2027E (코스맥스·한국콜마),2027E,,KRW bn,"확인 안 됨 — FnGuide/WiseReport 표 페이지 접속장애, CapIQ에서 재확인 필요",,
올리브영 매출(별도),2023,38682,억원 (KRW 100mn),아시아타임즈 2025-04-10,https://www.asiatime.co.kr/article/20250408500401,
올리브영 매출(별도),2024,47895,억원 (KRW 100mn),아시아타임즈 2025-04-10 (+23.9%),https://www.asiatime.co.kr/article/20250408500401,
올리브영 매출(별도),2025,58335,억원 (KRW 100mn),바이라인네트워크 2026-03-19 (+21.8%),https://byline.network/2026/03/19_cjoliveyoung-2/,외국인 매출 비중 21%→28%
올리브영 매출(별도),2026 1H,33349,억원 (KRW 100mn),디지틀조선 2026-08-14 (+23.7%),https://digitalchosun.dizzo.com/site/data/html_dir/2026/08/14/2026081480172.html,온라인 +25%
Amazon US 한국 페이셜 스킨케어 매출,2025 1H,456,USD mn,Perpetua Prism via BeautyMatter,"https://beautymatter.com/articles/amazon-builds-its-k-beauty-advantage (2026-08-30, Perpetua Prism/Front Row)",
Amazon US 한국 페이셜 스킨케어 매출,2026 1H,818,USD mn,Perpetua Prism via BeautyMatter,"https://beautymatter.com/articles/amazon-builds-its-k-beauty-advantage (2026-08-30, Perpetua Prism/Front Row)",YoY +80% (아마존 전체 페이셜 스킨케어 +27%)
Amazon Prime Day K-beauty 매출,2026,172,USD mn,Perpetua Prism via BeautyMatter,"https://beautymatter.com/articles/amazon-builds-its-k-beauty-advantage (2026-08-30, Perpetua Prism/Front Row)",YoY +38% (2025 124)
Amazon 글로벌스토어 한국 뷰티 셀러 매출 증가율,2023,75,%,Amazon (코리아헤럴드 2024-06-30),https://m.koreaherald.com/article/3423579,
Amazon 뷰티 검색 중 한국 브랜드 비중,2026,10.5,%,Market Defense via BeautyMatter,"https://beautymatter.com/articles/amazon-builds-its-k-beauty-advantage (2026-08-30, Perpetua Prism/Front Row)",2025 6.5%
